Raw.file,Condition,BioReplicate,IsotopeLabelType
MS280,06h,1,L
MS281,06h,2,L
MS282,06h,3,L
MS283,06h,4,L
MS284,12h,5,L
MS285,12h,6,L
MS286,12h,7,L
MS287,12h,8,L
MS288,18h,9,L
MS289,18h,10,L
MS290,18h,11,L
MS291,24h,12,L
MS292,24h,13,L
MS293,24h,14,L
MS294,48h,15,L
MS295,48h,16,L
MS296,48h,17,L
MS297,48h,18,L
MS298,72h,19,L
MS299,72h,20,L
MS300,72h,21,L
MS301,72h,22,L
MS302,96h,23,L
MS303,96h,24,L
MS304,96h,25,L
MS305,96h,26,L
