Raw.file,Condition,BioReplicate,IsotopeLabelType
MS332,06h,1,L
MS333,06h,2,L
MS334,06h,3,L
MS335,06h,4,L
MS336,12h,5,L
MS337,12h,6,L
MS338,12h,7,L
MS339,12h,8,L
MS340,18h,9,L
MS341,18h,10,L
MS342,18h,11,L
MS343,24h,12,L
MS344,24h,13,L
MS345,24h,14,L
MS346,48h,15,L
MS347,48h,16,L
MS348,48h,17,L
MS349,48h,18,L
MS350,72h,19,L
MS351,72h,20,L
MS352,72h,21,L
MS353,72h,22,L
MS354,96h,23,L
MS355,96h,24,L
MS356,96h,25,L
MS357,96h,26,L
