Raw.file,Condition,BioReplicate,IsotopeLabelType
MS306,06h,1,L
MS307,06h,2,L
MS308,06h,3,L
MS309,06h,4,L
MS310,12h,5,L
MS311,12h,6,L
MS312,12h,7,L
MS313,12h,8,L
MS314,18h,9,L
MS315,18h,10,L
MS316,18h,11,L
MS317,24h,12,L
MS318,24h,13,L
MS319,24h,14,L
MS320,48h,15,L
MS321,48h,16,L
MS322,48h,17,L
MS323,48h,18,L
MS324,72h,19,L
MS325,72h,20,L
MS326,72h,21,L
MS327,72h,22,L
MS328,96h,23,L
MS329,96h,24,L
MS330,96h,25,L
MS331,96h,26,L
